AA    ;LOCATION           ;DATE      ;MIS;DW ;DM ;DC ;CAUSE OF DEATH                                                                                                                                        ;LOCATION DESCR.                                                                                                                                                                    ;COORDINATES                           ;URL                                                                                                                                                                  
000001;US-Mexico Border   ;08/04/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Rio Bravo, Nuevo Laredo, Tamaulipas, Mexico                                                                                                                                        ;  +27.499559402466,  -99.529144287109;https://archive.ph/MxbRb
000002;Central America    ;05/04/2020;000;000;001;000;Accident (fell from train)                                                                                                                            ;San Lorenzo Soltepec, Tlaxcala, Mexico                                                                                                                                             ;  +19.604444503784,  -98.311943054199;https://archive.ph/93ZaE
000003;US-Mexico Border   ;05/04/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Rio Bravo, Eagle Pass, Maverick County, Texas, USA                                                                                                                                 ;  +28.711778640747, -100.507720947266;https://archive.ph/Nx54L
000004;Central America    ;05/04/2020;000;000;001;000;Run over by train                                                                                                                                     ;Ixtepec, Oaxaca, Mexico                                                                                                                                                            ;  +16.561126708984,  -95.096313476562;https://archive.ph/zpj1a
000005;US-Mexico Border   ;05/04/2020;000;000;001;000;Drowning                                                                                                                                              ;Las Cruces, Piedras Negras, Coahuila, Mexico                                                                                                                                       ;  +28.709461212158, -100.510734558105;https://archive.ph/3JNKz
000006;Mediterranean      ;01/04/2020;000;000;000;000;Presumed drowning                                                                                                                                     ;Remains recovered on Al Maya Shore, Zawiyah, Libya                                                                                                                                 ;  +32.792613983154,  +12.733749389648;
000007;US-Mexico Border   ;01/04/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Rio Bravo, Matamoros, Tamaulipas, Mexico                                                                                                                                           ;  +25.880790710449,  -97.492591857910;https://archive.vn/tzPjt
000008;South America      ;30/03/2020;000;001;002;000;Murdered                                                                                                                                              ;Brisas del Hon Kong, Puerto As  s, Putumayo, Colombia                                                                                                                              ;   +0.498509705067,  -76.497741699219;https://archive.ph/qLyNN
000009;Mediterranean      ;30/03/2020;000;000;000;000;Drowning                                                                                                                                              ;4km north of Plage idi Medjdoub, Kharouba, province of Mostaganem, Algeria                                                                                                         ;  +35.980308532715,   +0.053532633930;https://archive.ph/u4Plj
000010;North Africa       ;27/03/2020;021;001;000;000;Presumed drowning                                                                                                                                     ;17 nautical miles west off of Dakhla, Morocco                                                                                                                                      ;  +27.886157989502,  -13.596987724304;https://archive.vn/8XoSf
000011;US-Mexico Border   ;25/03/2020;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Comanche Ranch, Maverick County, Texas, USA                                                                                                                                        ;  +28.697183609009, -100.398078918457;https://bit.ly/2QQAPBk
000012;US-Mexico Border   ;25/03/2020;000;000;000;000;Presumed drowning                                                                                                                                     ;In a canal next to Cougar Park, El Paso, Texas, USA                                                                                                                                ;  +31.642269134521, -106.301856994629;https://bit.ly/2X0YqmR
000013;Sub-Saharan Africa ;24/03/2020;000;000;064;000;Asphyxiation                                                                                                                                          ;Inside truck at the Mussacana weight bridge in Tete, Mozambique, travelling from Malawi                                                                                            ;  -16.132810592651,  +33.606384277344;
000014;US-Mexico Border   ;23/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;R  o Bravo, Reynosa D  az, Tamaulipas, Mexico                                                                                                                                      ;  +26.216274261475,  -98.455535888672;https://bit.ly/2QGVkQU
000015;Central America    ;21/03/2020;000;000;001;000;Accident (fell from the roof of a train and was run over by it)                                                                                       ;Acultzingo, Veracruz, Mexico                                                                                                                                                       ;  +18.715656280518,  -97.307762145996;https://bit.ly/3dmjnyf
000016;US-Mexico Border   ;20/03/2020;000;000;001;000;Unknown                                                                                                                                               ;Cuevitas, Texas, USA                                                                                                                                                               ;  +26.258771896362,  -98.576225280762;https://bit.ly/3abmSWk
000017;US-Mexico Border   ;20/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Rio Bravo, Eagle Pass, Maverick County, Texas, USA                                                                                                                                 ;  +28.710723876953, -100.508102416992;https://archive.ph/2qFnA
000018;US-Mexico Border   ;19/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;R  o Bravo, Nuevo Laredo, Tamaulipas, Mexico                                                                                                                                       ;  +27.502147674561,  -99.528633117676;https://bit.ly/3dwCcid
000019;US-Mexico Border   ;18/03/2020;001;000;000;000;Pressumed drowning                                                                                                                                    ;In a canal close to the Zaragoza international bridge, El Paso, Texas, USA                                                                                                         ;  +31.671592712402, -106.336891174316;https://archive.ph/hFuTm
000020;US-Mexico Border   ;17/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;R  o Bravo, Nuevo Laredo, Tamaulipas, Mexico                                                                                                                                       ;  +27.504402160645,  -99.528884887695;https://bit.ly/2UCYar4
000021;Southeast Asia     ;14/03/2020;000;002;000;000;Vehicle Accident                                                                                                                                      ;Nikhom Phatthana, Rayong, Thailand                                                                                                                                                 ;  +12.829911231995, +101.204330444336;https://bit.ly/3aYbyfW
000022;US-Mexico Border   ;14/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Piedras Negras, Coahuila, Mexico (near international bridge #2)                                                                                                                    ;  +28.704906463623, -100.512367248535;https://bit.ly/2UbAH1d
000023;Mediterranean      ;12/03/2020;005;002;000;001;Drowning                                                                                                                                              ;Off the coast of Larache, Morocco                                                                                                                                                  ;  +35.189861297607,   -6.173145771027;https://archive.ph/gB4Vs
000024;US-Mexico Border   ;10/03/2020;000;001;000;000;Accident (fell down while climbing border wall)                                                                                                       ;El Paso, El paso County, Texas, USA                                                                                                                                                ;  +31.761877059937, -106.485023498535;https://bit.ly/33b78ji
000025;Mediterranean      ;10/03/2020;015;000;000;000;Presumed drowning                                                                                                                                     ;Off the coast of El Haouaria, Nabeul, Tunisia                                                                                                                                      ;  +36.433338165283,  +10.743388175964;https://bit.ly/2xlsUVy
000026;Europe             ;08/03/2020;000;000;000;000;Presumed drowning                                                                                                                                     ;Evros/Meri   river, near Feres, Greece                                                                                                                                             ;  +40.904621124268,  +26.255971908569;https://archive.ph/pZZd2
000027;Central America    ;08/03/2020;000;000;001;000;Killed                                                                                                                                                ;Filo de Caballos, Guerrero, Mexico                                                                                                                                                 ;  +17.648056030273,  -99.843887329102;https://archive.ph/F8KFn
000028;US-Mexico Border   ;07/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Body recovered from the R  o Bravo at Nuevo Laredo, Tamaulipas, Mexico                                                                                                             ;  +27.496971130371,  -99.528373718262;https://bit.ly/2VZlly3
